2023-03-25 12:16:07.708 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 16084 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:16:07.709 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:16:09.568 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.371 seconds (process running for 3.035)
2023-03-25 12:16:37.852 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 17992 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:16:37.853 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:16:39.629 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.282 seconds (process running for 2.974)
2023-03-25 12:16:51.351 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 8592 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:16:51.351 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
2023-03-25 12:16:53.095 [restartedMain] INFO  com.project.Main.logStarted(57) - Started Main in 2.26 seconds (process running for 2.964)
2023-03-25 12:18:54.417 [restartedMain] INFO  com.project.Main.logStarting(51) - Starting Main using Java 17.0.6 with PID 13460 (C:\Users\Jagoda\programowaniezwinne\project-web-app\build\classes\java\main started by Jagoda in C:\Users\Jagoda\programowaniezwinne)
2023-03-25 12:18:54.418 [restartedMain] INFO  com.project.Main.logStartupProfileInfo(632) - No active profile set, falling back to 1 default profile: "default"
